Class	Field	Type	Description
ExcelScript.HeaderFooterGroup	getOddPages()	Method	The header/footer to use for odd pages  even header/footer needs to be specified for even pages.
ExcelScript.HeaderFooterGroup	getState()	Method	The state by which headers/footers are set.
ExcelScript.HeaderFooterGroup	getUseSheetMargins()	Method	Gets or sets a flag indicating if headers/footers are aligned with the page margins set in the page layout options for the worksheet.
ExcelScript.HeaderFooterGroup	getUseSheetScale()	Method	Gets or sets a flag indicating if headers/footers should be scaled by the page percentage scale set in the page layout options for the worksheet.
ExcelScript.HeaderFooterGroup	setState(state)	Method	The state by which headers/footers are set.
ExcelScript.HeaderFooterGroup	setUseSheetMargins(useSheetMargins)	Method	Gets or sets a flag indicating if headers/footers are aligned with the page margins set in the page layout options for the worksheet.
ExcelScript.HeaderFooterGroup	setUseSheetScale(useSheetScale)	Method	Gets or sets a flag indicating if headers/footers should be scaled by the page percentage scale set in the page layout options for the worksheet.
ExcelScript.HeaderFooterState		Class	
ExcelScript.HeaderFooterState	default	EnumField	Only one general header/footer is used for all pages printed.
ExcelScript.HeaderFooterState	firstAndDefault	EnumField	There is a separate first page header/footer  and a general header/footer used for all other pages.
ExcelScript.HeaderFooterState	firstOddAndEven	EnumField	There is a separate first page header/footer  then there is a separate header/footer for odd and even pages.
ExcelScript.HeaderFooterState	oddAndEven	EnumField	There is a different header/footer for odd and even pages.
ExcelScript.HorizontalAlignment		Class	
ExcelScript.HorizontalAlignment	center	EnumField	
ExcelScript.HorizontalAlignment	centerAcrossSelection	EnumField	
ExcelScript.HorizontalAlignment	distributed	EnumField	
ExcelScript.HorizontalAlignment	fill	EnumField	
ExcelScript.HorizontalAlignment	general	EnumField	
ExcelScript.HorizontalAlignment	justify	EnumField	
ExcelScript.HorizontalAlignment	left	EnumField	
ExcelScript.HorizontalAlignment	right	EnumField	
ExcelScript.Icon		Class	Represents a cell icon.
ExcelScript.Icon	index	Property	Specifies the index of the icon in the given set.
ExcelScript.Icon	set	Property	Specifies the set that the icon is part of.
ExcelScript.IconSet		Class	
ExcelScript.IconSet	fiveArrows	EnumField	
ExcelScript.IconSet	fiveArrowsGray	EnumField	
ExcelScript.IconSet	fiveBoxes	EnumField	
ExcelScript.IconSet	fiveQuarters	EnumField	
ExcelScript.IconSet	fiveRating	EnumField	
ExcelScript.IconSet	fourArrows	EnumField	
ExcelScript.IconSet	fourArrowsGray	EnumField	
ExcelScript.IconSet	fourRating	EnumField	
ExcelScript.IconSet	fourRedToBlack	EnumField	
ExcelScript.IconSet	fourTrafficLights	EnumField	
ExcelScript.IconSet	invalid	EnumField	
ExcelScript.IconSet	threeArrows	EnumField	
ExcelScript.IconSet	threeArrowsGray	EnumField	
ExcelScript.IconSet	threeFlags	EnumField	
ExcelScript.IconSet	threeSigns	EnumField	
ExcelScript.IconSet	threeStars	EnumField	
ExcelScript.IconSet	threeSymbols	EnumField	
ExcelScript.IconSet	threeSymbols2	EnumField	
ExcelScript.IconSet	threeTrafficLights1	EnumField	
ExcelScript.IconSet	threeTrafficLights2	EnumField	
ExcelScript.IconSet	threeTriangles	EnumField	
ExcelScript.IconSetConditionalFormat		Class	Represents an icon set criteria for conditional formatting.
ExcelScript.IconSetConditionalFormat	getCriteria()	Method	An array of criteria and icon sets for the rules and potential custom icons for conditional icons.
ExcelScript.IconSetConditionalFormat	getReverseIconOrder()	Method	If `true`<!-- -->  reverses the icon orders for the icon set.
ExcelScript.IconSetConditionalFormat	getShowIconOnly()	Method	If `true`<!-- -->  hides the values and only shows icons.
ExcelScript.IconSetConditionalFormat	getStyle()	Method	If set  displays the icon set option for the conditional format.
ExcelScript.IconSetConditionalFormat	setCriteria(criteria)	Method	An array of criteria and icon sets for the rules and potential custom icons for conditional icons.
ExcelScript.IconSetConditionalFormat	setReverseIconOrder(reverseIconOrder)	Method	If `true`<!-- -->  reverses the icon orders for the icon set.
ExcelScript.IconSetConditionalFormat	setShowIconOnly(showIconOnly)	Method	If `true`<!-- -->  hides the values and only shows icons.
ExcelScript.IconSetConditionalFormat	setStyle(style)	Method	If set  displays the icon set option for the conditional format.
ExcelScript.Image		Class	Represents an image in the worksheet.
ExcelScript.Image	getFormat()	Method	Returns the format of the image.
ExcelScript.Image	getId()	Method	Specifies the shape identifier for the image object.
ExcelScript.Image	getShape()	Method	Returns the `Shape` object associated with the image.
ExcelScript.ImageFittingMode		Class	
ExcelScript.ImageFittingMode	fill	EnumField	
ExcelScript.ImageFittingMode	fit	EnumField	
ExcelScript.ImageFittingMode	fitAndCenter	EnumField	
ExcelScript.InsertShiftDirection		Class	
ExcelScript.InsertShiftDirection	down	EnumField	
ExcelScript.InsertShiftDirection	right	EnumField	
ExcelScript.IterativeCalculation		Class	Represents the iterative calculation settings.
ExcelScript.IterativeCalculation	getEnabled()	Method	True if Excel will use iteration to resolve circular references.
ExcelScript.IterativeCalculation	getMaxChange()	Method	Specifies the maximum amount of change between each iteration as Excel resolves circular references.
ExcelScript.IterativeCalculation	getMaxIteration()	Method	Specifies the maximum number of iterations that Excel can use to resolve a circular reference.
ExcelScript.IterativeCalculation	setEnabled(enabled)	Method	True if Excel will use iteration to resolve circular references.
ExcelScript.IterativeCalculation	setMaxChange(maxChange)	Method	Specifies the maximum amount of change between each iteration as Excel resolves circular references.
ExcelScript.IterativeCalculation	setMaxIteration(maxIteration)	Method	Specifies the maximum number of iterations that Excel can use to resolve a circular reference.
ExcelScript.KeyboardDirection		Class	
ExcelScript.KeyboardDirection	down	EnumField	
ExcelScript.KeyboardDirection	left	EnumField	
ExcelScript.KeyboardDirection	right	EnumField	
ExcelScript.KeyboardDirection	up	EnumField	
ExcelScript.LabelFilterCondition		Class	Enum representing all accepted conditions by which a label filter can be applied.
ExcelScript.LabelFilterCondition	beginsWith	EnumField	Label begins with substring criterion.
ExcelScript.LabelFilterCondition	between	EnumField	Between `lowerBound` and `upperBound` criteria.
ExcelScript.LabelFilterCondition	contains	EnumField	Label contains substring criterion.
ExcelScript.LabelFilterCondition	endsWith	EnumField	Label ends with substring criterion.
ExcelScript.LabelFilterCondition	equals	EnumField	Equals comparator criterion.
ExcelScript.LabelFilterCondition	greaterThan	EnumField	Greater than comparator criterion.
ExcelScript.LabelFilterCondition	greaterThanOrEqualTo	EnumField	Greater than or equal to comparator criterion.
ExcelScript.LabelFilterCondition	lessThan	EnumField	Less than comparator criterion.
ExcelScript.LabelFilterCondition	lessThanOrEqualTo	EnumField	Less than or equal to comparator criterion.
ExcelScript.LabelFilterCondition	unknown	EnumField	`LabelFilterCondition` is unknown or unsupported.
ExcelScript.Line		Class	Represents a line inside a worksheet.
ExcelScript.Line	connectBeginShape(shape	Method	Attaches the beginning of the specified connector to a specified shape.
ExcelScript.Line	connectEndShape(shape	Method	Attaches the end of the specified connector to a specified shape.
ExcelScript.Line	disconnectBeginShape()	Method	Detaches the beginning of the specified connector from a shape.
ExcelScript.Line	disconnectEndShape()	Method	Detaches the end of the specified connector from a shape.
ExcelScript.Line	getBeginArrowheadLength()	Method	Represents the length of the arrowhead at the beginning of the specified line.
ExcelScript.Line	getBeginArrowheadStyle()	Method	Represents the style of the arrowhead at the beginning of the specified line.
ExcelScript.Line	getBeginArrowheadWidth()	Method	Represents the width of the arrowhead at the beginning of the specified line.
ExcelScript.Line	getBeginConnectedShape()	Method	Represents the shape to which the beginning of the specified line is attached.
ExcelScript.Line	getBeginConnectedSite()	Method	Represents the connection site to which the beginning of a connector is connected.
ExcelScript.Line	getConnectorType()	Method	Represents the connector type for the line.
ExcelScript.Line	getEndArrowheadLength()	Method	Represents the length of the arrowhead at the end of the specified line.
ExcelScript.Line	getEndArrowheadStyle()	Method	Represents the style of the arrowhead at the end of the specified line.
ExcelScript.Line	getEndArrowheadWidth()	Method	Represents the width of the arrowhead at the end of the specified line.
ExcelScript.Line	getEndConnectedShape()	Method	Represents the shape to which the end of the specified line is attached.
ExcelScript.Line	getEndConnectedSite()	Method	Represents the connection site to which the end of a connector is connected.
ExcelScript.Line	getId()	Method	Specifies the shape identifier.
ExcelScript.Line	getIsBeginConnected()	Method	Specifies if the beginning of the specified line is connected to a shape.
ExcelScript.Line	getIsEndConnected()	Method	Specifies if the end of the specified line is connected to a shape.
ExcelScript.Line	getShape()	Method	Returns the `Shape` object associated with the line.
ExcelScript.Line	setBeginArrowheadLength(beginArrowheadLength)	Method	Represents the length of the arrowhead at the beginning of the specified line.
ExcelScript.Line	setBeginArrowheadStyle(beginArrowheadStyle)	Method	Represents the style of the arrowhead at the beginning of the specified line.
ExcelScript.Line	setBeginArrowheadWidth(beginArrowheadWidth)	Method	Represents the width of the arrowhead at the beginning of the specified line.
ExcelScript.Line	setConnectorType(connectorType)	Method	Represents the connector type for the line.
ExcelScript.Line	setEndArrowheadLength(endArrowheadLength)	Method	Represents the length of the arrowhead at the end of the specified line.
ExcelScript.Line	setEndArrowheadStyle(endArrowheadStyle)	Method	Represents the style of the arrowhead at the end of the specified line.
ExcelScript.Line	setEndArrowheadWidth(endArrowheadWidth)	Method	Represents the width of the arrowhead at the end of the specified line.
ExcelScript.LinkedDataTypeState		Class	
ExcelScript.LinkedDataTypeState	brokenLinkedData	EnumField	
ExcelScript.LinkedDataTypeState	disambiguationNeeded	EnumField	
ExcelScript.LinkedDataTypeState	fetchingData	EnumField	
ExcelScript.LinkedDataTypeState	none	EnumField	
ExcelScript.LinkedDataTypeState	validLinkedData	EnumField	
ExcelScript.LinkedWorkbook		Class	Contains information about a linked workbook.
ExcelScript.LinkedWorkbook	breakLinks()	Method	Makes a request to break the links pointing to the linked workbook.
ExcelScript.LinkedWorkbook	refreshLinks()	Method	Makes a request to refresh the data retrieved from the linked workbook.
ExcelScript.ListDataValidation		Class	Represents the List data validation criteria.
ExcelScript.ListDataValidation	inCellDropDown	Property	Specifies whether to display the list in a cell drop-down.
ExcelScript.ListDataValidation	source	Property	Source of the list for data validation When setting the value  it can be passed in as a `Range` object  or a string that contains a comma-separated number  boolean  or date.
ExcelScript.NamedItem		Class	Represents a defined name for a range of cells or value.
ExcelScript.NamedItem	delete()	Method	Deletes the given name.
ExcelScript.NamedItem	getArrayValues()	Method	Returns an object containing values and types of the named item.
ExcelScript.NamedItem	getComment()	Method	Specifies the comment associated with this name.
ExcelScript.NamedItem	getFormula()	Method	The formula of the named item.
ExcelScript.NamedItem	getName()	Method	The name of the object.
ExcelScript.NamedItem	getRange()	Method	Returns the range object that is associated with the name.
ExcelScript.NamedItem	getScope()	Method	Specifies if the name is scoped to the workbook or to a specific worksheet.
ExcelScript.NamedItem	getType()	Method	Specifies the type of the value returned by the name's formula.
ExcelScript.NamedItem	getValue()	Method	Represents the value computed by the name's formula.
ExcelScript.NamedItem	getVisible()	Method	Specifies if the object is visible.
ExcelScript.NamedItem	getWorksheet()	Method	Returns the worksheet to which the named item is scoped.
ExcelScript.NamedItem	setComment(comment)	Method	Specifies the comment associated with this name.
ExcelScript.NamedItem	setFormula(formula)	Method	The formula of the named item.
ExcelScript.NamedItem	setVisible(visible)	Method	Specifies if the object is visible.
ExcelScript.NamedItemArrayValues		Class	Represents an object containing values and types of a named item.
ExcelScript.NamedItemArrayValues	getTypes()	Method	Represents the types for each item in the named item array
ExcelScript.NamedItemArrayValues	getValues()	Method	Represents the values of each item in the named item array.
ExcelScript.NamedItemScope		Class	
ExcelScript.NamedItemScope	workbook	EnumField	
ExcelScript.NamedItemScope	worksheet	EnumField	
ExcelScript.NamedItemType		Class	
ExcelScript.NamedItemType	array	EnumField	
ExcelScript.NamedItemType	boolean	EnumField	
ExcelScript.NamedItemType	double	EnumField	
ExcelScript.NamedItemType	error	EnumField	
ExcelScript.NamedItemType	integer	EnumField	
ExcelScript.NamedItemType	range	EnumField	
ExcelScript.NamedItemType	string	EnumField	
ExcelScript.NamedSheetView		Class	Represents a named sheet view of a worksheet.
ExcelScript.NamedSheetView	activate()	Method	Activates this sheet view.
ExcelScript.NamedSheetView	delete()	Method	Removes the sheet view from the worksheet.
ExcelScript.NamedSheetView	duplicate(name)	Method	Creates a copy of this sheet view.
ExcelScript.NamedSheetView	getName()	Method	Gets or sets the name of the sheet view.
ExcelScript.NamedSheetView	setName(name)	Method	Gets or sets the name of the sheet view.
ExcelScript.NumberFormatCategory		Class	Represents a category of number formats.
ExcelScript.NumberFormatCategory	accounting	EnumField	Accounting formats line up the currency symbols and decimal points in a column.
ExcelScript.NumberFormatCategory	currency	EnumField	Currency formats are used for general monetary values.
ExcelScript.NumberFormatCategory	custom	EnumField	A custom format that is not a part of any category.
ExcelScript.NumberFormatCategory	date	EnumField	Date formats display date and time serial numbers as date values.
ExcelScript.NumberFormatCategory	fraction	EnumField	Fraction formats display the cell value as a whole number with the remainder rounded to the nearest fraction value.
ExcelScript.NumberFormatCategory	general	EnumField	General format cells have no specific number format.
ExcelScript.NumberFormatCategory	number	EnumField	Number is used for general display of numbers.
ExcelScript.NumberFormatCategory	percentage	EnumField	Percentage formats multiply the cell value by 100 and displays the result with a percent symbol.
ExcelScript.NumberFormatCategory	scientific	EnumField	Scientific formats display the cell value as a number between 1 and 10 multiplied by a power of 10.
ExcelScript.NumberFormatCategory	special	EnumField	Special formats are useful for tracking list and database values.
ExcelScript.NumberFormatCategory	text	EnumField	Text format cells are treated as text even when a number is in the cell.
ExcelScript.NumberFormatCategory	time	EnumField	Time formats display date and time serial numbers as date values.
ExcelScript.NumberFormatInfo		Class	Defines the culturally appropriate format of displaying numbers.
ExcelScript.NumberFormatInfo	getNumberDecimalSeparator()	Method	Gets the string used as the decimal separator for numeric values.
ExcelScript.NumberFormatInfo	getNumberGroupSeparator()	Method	Gets the string used to separate groups of digits to the left of the decimal for numeric values.
ExcelScript.PageBreak		Class	
ExcelScript.PageBreak	delete()	Method	Deletes a page break object.
ExcelScript.PageBreak	getCellAfterBreak()	Method	Gets the first cell after the page break.
ExcelScript.PageBreak	getColumnIndex()	Method	Specifies the column index for the page break.
ExcelScript.PageLayout		Class	Represents layout and print settings that are not dependent on any printer-specific implementation.
ExcelScript.PageLayout	getBlackAndWhite()	Method	The worksheet's black and white print option.
ExcelScript.PageLayout	getBottomMargin()	Method	The worksheet's bottom page margin to use for printing in points.
ExcelScript.PageLayout	getCenterHorizontally()	Method	The worksheet's center horizontally flag.
ExcelScript.PageLayout	getCenterVertically()	Method	The worksheet's center vertically flag.
ExcelScript.PageLayout	getDraftMode()	Method	The worksheet's draft mode option.
ExcelScript.PageLayout	getFirstPageNumber()	Method	The worksheet's first page number to print.
ExcelScript.PageLayout	getFooterMargin()	Method	The worksheet's footer margin  in points  for use when printing.
ExcelScript.PageLayout	getHeaderMargin()	Method	The worksheet's header margin  in points  for use when printing.
ExcelScript.PageLayout	getHeadersFooters()	Method	Header and footer configuration for the worksheet.
ExcelScript.PageLayout	getLeftMargin()	Method	The worksheet's left margin  in points  for use when printing.
ExcelScript.PageLayout	getOrientation()	Method	The worksheet's orientation of the page.
ExcelScript.PageLayout	getPaperSize()	Method	The worksheet's paper size of the page.
ExcelScript.PageLayout	getPrintArea()	Method	Gets the `RangeAreas` object  comprising one or more rectangular ranges  that represents the print area for the worksheet.
ExcelScript.PageLayout	getPrintComments()	Method	Specifies if the worksheet's comments should be displayed when printing.
ExcelScript.PageLayout	getPrintErrors()	Method	The worksheet's print errors option.
ExcelScript.PageLayout	getPrintGridlines()	Method	Specifies if the worksheet's gridlines will be printed.
ExcelScript.PageLayout	getPrintHeadings()	Method	Specifies if the worksheet's headings will be printed.
ExcelScript.PageLayout	getPrintOrder()	Method	The worksheet's page print order option.
ExcelScript.PageLayout	getPrintTitleColumns()	Method	Gets the range object representing the title columns.
ExcelScript.PageLayout	getPrintTitleRows()	Method	Gets the range object representing the title rows.
ExcelScript.PageLayout	getRightMargin()	Method	The worksheet's right margin  in points  for use when printing.
ExcelScript.PageLayout	getTopMargin()	Method	The worksheet's top margin  in points  for use when printing.
ExcelScript.PageLayout	getZoom()	Method	The worksheet's print zoom options.
ExcelScript.PageLayout	setBlackAndWhite(blackAndWhite)	Method	The worksheet's black and white print option.
ExcelScript.PageLayout	setBottomMargin(bottomMargin)	Method	The worksheet's bottom page margin to use for printing in points.
ExcelScript.PageLayout	setCenterHorizontally(centerHorizontally)	Method	The worksheet's center horizontally flag.
ExcelScript.PageLayout	setCenterVertically(centerVertically)	Method	The worksheet's center vertically flag.
ExcelScript.PageLayout	setDraftMode(draftMode)	Method	The worksheet's draft mode option.
ExcelScript.PageLayout	setFirstPageNumber(firstPageNumber)	Method	The worksheet's first page number to print.
ExcelScript.PageLayout	setFooterMargin(footerMargin)	Method	The worksheet's footer margin  in points  for use when printing.
ExcelScript.PageLayout	setHeaderMargin(headerMargin)	Method	The worksheet's header margin  in points  for use when printing.
ExcelScript.PageLayout	setLeftMargin(leftMargin)	Method	The worksheet's left margin  in points  for use when printing.
ExcelScript.PageLayout	setOrientation(orientation)	Method	The worksheet's orientation of the page.
ExcelScript.PageLayout	setPaperSize(paperSize)	Method	The worksheet's paper size of the page.
ExcelScript.PageLayout	setPrintArea(printArea)	Method	Sets the worksheet's print area.
ExcelScript.PageLayout	setPrintComments(printComments)	Method	Specifies if the worksheet's comments should be displayed when printing.
ExcelScript.PageLayout	setPrintErrors(printErrors)	Method	The worksheet's print errors option.
ExcelScript.PageLayout	setPrintGridlines(printGridlines)	Method	Specifies if the worksheet's gridlines will be printed.
ExcelScript.PageLayout	setPrintHeadings(printHeadings)	Method	Specifies if the worksheet's headings will be printed.
ExcelScript.PageLayout	setPrintMargins(unit	Method	Sets the worksheet's page margins with units.
ExcelScript.PageLayout	setPrintOrder(printOrder)	Method	The worksheet's page print order option.
ExcelScript.PageLayout	setPrintTitleColumns(printTitleColumns)	Method	Sets the columns that contain the cells to be repeated at the left of each page of the worksheet for printing.
ExcelScript.PageLayout	setPrintTitleRows(printTitleRows)	Method	Sets the rows that contain the cells to be repeated at the top of each page of the worksheet for printing.
ExcelScript.PageLayout	setRightMargin(rightMargin)	Method	The worksheet's right margin  in points  for use when printing.
ExcelScript.PageLayout	setTopMargin(topMargin)	Method	The worksheet's top margin  in points  for use when printing.
ExcelScript.PageLayout	setZoom(zoom)	Method	The worksheet's print zoom options.
ExcelScript.PageLayoutMarginOptions		Class	Represents the options in page layout margins.
ExcelScript.PageLayoutMarginOptions	bottom	Property	Specifies the page layout bottom margin in the unit specified to use for printing.
ExcelScript.PageLayoutMarginOptions	footer	Property	Specifies the page layout footer margin in the unit specified to use for printing.
ExcelScript.PageLayoutMarginOptions	header	Property	Specifies the page layout header margin in the unit specified to use for printing.
ExcelScript.PageLayoutMarginOptions	left	Property	Specifies the page layout left margin in the unit specified to use for printing.
ExcelScript.PageLayoutMarginOptions	right	Property	Specifies the page layout right margin in the unit specified to use for printing.
ExcelScript.PageLayoutMarginOptions	top	Property	Specifies the page layout top margin in the unit specified to use for printing.
ExcelScript.PageLayoutZoomOptions		Class	Represents page zoom properties.
ExcelScript.PageLayoutZoomOptions	horizontalFitToPages	Property	Number of pages to fit horizontally.
ExcelScript.PageLayoutZoomOptions	scale	Property	Print page scale value can be between 10 and 400.
ExcelScript.PageLayoutZoomOptions	verticalFitToPages	Property	Number of pages to fit vertically.
ExcelScript.PageOrientation		Class	
ExcelScript.PageOrientation	landscape	EnumField	
ExcelScript.PageOrientation	portrait	EnumField	
ExcelScript.PaperType		Class	
ExcelScript.PaperType	a3	EnumField	
ExcelScript.PaperType	a4	EnumField	
ExcelScript.PaperType	a4Small	EnumField	
ExcelScript.PaperType	a5	EnumField	
ExcelScript.PaperType	b4	EnumField	
ExcelScript.PaperType	b5	EnumField	
ExcelScript.PaperType	csheet	EnumField	
ExcelScript.PaperType	dsheet	EnumField	
ExcelScript.PaperType	envelope10	EnumField	
ExcelScript.PaperType	envelope11	EnumField	
ExcelScript.PaperType	envelope12	EnumField	
ExcelScript.PaperType	envelope14	EnumField	
ExcelScript.PaperType	envelope9	EnumField	
ExcelScript.PaperType	envelopeB4	EnumField	
ExcelScript.PaperType	envelopeB5	EnumField	
ExcelScript.PaperType	envelopeB6	EnumField	
ExcelScript.PaperType	envelopeC3	EnumField	
ExcelScript.PaperType	envelopeC4	EnumField	
ExcelScript.PaperType	envelopeC5	EnumField	
ExcelScript.PaperType	envelopeC6	EnumField	
ExcelScript.PaperType	envelopeC65	EnumField	
ExcelScript.PaperType	envelopeDL	EnumField	
ExcelScript.PaperType	envelopeItaly	EnumField	
ExcelScript.PaperType	envelopeMonarch	EnumField	
ExcelScript.PaperType	envelopePersonal	EnumField	
ExcelScript.PaperType	esheet	EnumField	
ExcelScript.PaperType	executive	EnumField	
ExcelScript.PaperType	fanfoldLegalGerman	EnumField	
ExcelScript.PaperType	fanfoldStdGerman	EnumField	
ExcelScript.PaperType	fanfoldUS	EnumField	
ExcelScript.PaperType	folio	EnumField	
ExcelScript.PaperType	ledger	EnumField	
ExcelScript.PaperType	legal	EnumField	
ExcelScript.PaperType	letter	EnumField	
ExcelScript.PaperType	letterSmall	EnumField	
ExcelScript.PaperType	note	EnumField	
ExcelScript.PaperType	paper10x14	EnumField	
ExcelScript.PaperType	paper11x17	EnumField	
ExcelScript.PaperType	quatro	EnumField	
ExcelScript.PaperType	statement	EnumField	
ExcelScript.PaperType	tabloid	EnumField	
ExcelScript.PictureFormat		Class	The format of the image.
ExcelScript.PictureFormat	bmp	EnumField	Bitmap image.
ExcelScript.PictureFormat	gif	EnumField	Graphics Interchange Format.
ExcelScript.PictureFormat	jpeg	EnumField	Joint Photographic Experts Group.
ExcelScript.PictureFormat	png	EnumField	Portable Network Graphics.
ExcelScript.PictureFormat	svg	EnumField	Scalable Vector Graphic.
ExcelScript.PictureFormat	unknown	EnumField	
ExcelScript.PivotAxis		Class	Represents the axis from which to get the PivotItems.
ExcelScript.PivotAxis	column	EnumField	The column axis.
ExcelScript.PivotAxis	data	EnumField	The data axis.
ExcelScript.PivotAxis	filter	EnumField	The filter axis.
ExcelScript.PivotAxis	row	EnumField	The row axis.
ExcelScript.PivotAxis	unknown	EnumField	The axis or region is unknown or unsupported.
ExcelScript.PivotDateFilter		Class	Configurable template for a date filter to apply to a PivotField.
ExcelScript.PivotDateFilter	comparator	Property	The comparator is the static value to which other values are compared.
ExcelScript.PivotDateFilter	condition	Property	Specifies the condition for the filter  which defines the necessary filtering criteria.
ExcelScript.PivotDateFilter	exclusive	Property	If `true`<!-- -->  filter *excludes* items that meet criteria.
ExcelScript.PivotDateFilter	lowerBound	Property	The lower-bound of the range for the `between` filter condition.
ExcelScript.PivotDateFilter	upperBound	Property	The upper-bound of the range for the `between` filter condition.
ExcelScript.PivotDateFilter	wholeDays	Property	For `equals`<!-- -->  `before`<!-- -->  `after`<!-- -->  and `between` filter conditions  indicates if comparisons should be made as whole days.
ExcelScript.PivotField		Class	Represents the Excel PivotField.
ExcelScript.PivotField	applyFilter(filter)	Method	Sets one or more of the field's current PivotFilters and applies them to the field.
ExcelScript.PivotField	clearAllFilters()	Method	Clears all criteria from all of the field's filters.
ExcelScript.PivotField	clearFilter(filterType)	Method	Clears all existing criteria from the field's filter of the given type (if one is currently applied).
ExcelScript.PivotField	getFilters()	Method	Gets all filters currently applied on the field.
ExcelScript.PivotField	getId()	Method	ID of the PivotField.
ExcelScript.PivotField	getItems()	Method	Returns the PivotItems associated with the PivotField.
ExcelScript.PivotField	getName()	Method	Name of the PivotField.
ExcelScript.PivotField	getPivotItem(name)	Method	Gets a PivotItem by name.
ExcelScript.PivotField	getShowAllItems()	Method	Determines whether to show all items of the PivotField.
ExcelScript.PivotField	getSubtotals()	Method	Subtotals of the PivotField.
ExcelScript.PivotField	isFiltered(filterType)	Method	Checks if there are any applied filters on the field.
ExcelScript.PivotField	setName(name)	Method	Name of the PivotField.
ExcelScript.PivotField	setShowAllItems(showAllItems)	Method	Determines whether to show all items of the PivotField.
ExcelScript.PivotField	setSubtotals(subtotals)	Method	Subtotals of the PivotField.
ExcelScript.PivotField	sortByLabels(sortBy)	Method	Sorts the PivotField.
ExcelScript.PivotField	sortByValues(sortBy	Method	Sorts the PivotField by specified values in a given scope.
ExcelScript.PivotFilters		Class	An interface representing all PivotFilters currently applied to a given PivotField.
ExcelScript.PivotFilters	dateFilter	Property	The PivotField's currently applied date filter.
ExcelScript.PivotFilters	labelFilter	Property	The PivotField's currently applied label filter.
ExcelScript.PivotFilters	manualFilter	Property	The PivotField's currently applied manual filter.
ExcelScript.PivotFilters	valueFilter	Property	The PivotField's currently applied value filter.
ExcelScript.PivotFilterTopBottomCriterion		Class	Represents the criteria for the top/bottom values filter.
ExcelScript.PivotFilterTopBottomCriterion	bottomItems	EnumField	
ExcelScript.PivotFilterTopBottomCriterion	bottomPercent	EnumField	
ExcelScript.PivotFilterTopBottomCriterion	bottomSum	EnumField	
ExcelScript.PivotFilterTopBottomCriterion	invalid	EnumField	
ExcelScript.PivotFilterTopBottomCriterion	topItems	EnumField	
ExcelScript.PivotFilterTopBottomCriterion	topPercent	EnumField	
ExcelScript.PivotFilterTopBottomCriterion	topSum	EnumField	
ExcelScript.PivotFilterType		Class	A simple enum that represents a type of filter for a PivotField.
ExcelScript.PivotFilterType	date	EnumField	Filters PivotItems with a date in place of a label.
ExcelScript.PivotFilterType	label	EnumField	Filters PivotItems based on their labels.
ExcelScript.PivotFilterType	manual	EnumField	Filters specific manually selected PivotItems from the PivotTable.
ExcelScript.PivotFilterType	unknown	EnumField	`PivotFilterType` is unknown or unsupported.
ExcelScript.PivotFilterType	value	EnumField	Filters based on the value of a PivotItem with respect to a `DataPivotHierarchy`<!-- -->.
ExcelScript.PivotHierarchy		Class	Represents the Excel PivotHierarchy.
ExcelScript.PivotHierarchy	getFields()	Method	Returns the PivotFields associated with the PivotHierarchy.
ExcelScript.PivotHierarchy	getId()	Method	ID of the PivotHierarchy.
ExcelScript.PivotHierarchy	getName()	Method	Name of the PivotHierarchy.
ExcelScript.PivotHierarchy	getPivotField(name)	Method	Gets a PivotField by name.
ExcelScript.PivotHierarchy	setName(name)	Method	Name of the PivotHierarchy.
ExcelScript.PivotItem		Class	Represents the Excel PivotItem.
ExcelScript.PivotItem	getId()	Method	ID of the PivotItem.
ExcelScript.PivotItem	getIsExpanded()	Method	Determines whether the item is expanded to show child items or if it's collapsed and child items are hidden.
ExcelScript.PivotItem	getName()	Method	Name of the PivotItem.
ExcelScript.PivotItem	getVisible()	Method	Specifies if the PivotItem is visible.
ExcelScript.PivotItem	setIsExpanded(isExpanded)	Method	Determines whether the item is expanded to show child items or if it's collapsed and child items are hidden.
ExcelScript.PivotItem	setName(name)	Method	Name of the PivotItem.
ExcelScript.PivotItem	setVisible(visible)	Method	Specifies if the PivotItem is visible.
ExcelScript.PivotLabelFilter		Class	Configurable template for a label filter to apply to a PivotField.
ExcelScript.PivotLabelFilter	condition	Property	Specifies the condition for the filter  which defines the necessary filtering criteria.
ExcelScript.PivotLabelFilter	exclusive	Property	If `true`<!-- -->  filter *excludes* items that meet criteria.
ExcelScript.PivotLabelFilter	lowerBound	Property	The lower-bound of the range for the `between` filter condition.
ExcelScript.PivotLabelFilter	substring	Property	The substring used for `beginsWith`<!-- -->  `endsWith`<!-- -->  and `contains` filter conditions.
ExcelScript.PivotLabelFilter	upperBound	Property	The upper-bound of the range for the `between` filter condition.
ExcelScript.PivotLayout		Class	Represents the visual layout of the PivotTable.
ExcelScript.PivotLayout	getAutoFormat()	Method	Specifies if formatting will be automatically formatted when it’s refreshed or when fields are moved.
ExcelScript.PivotLayout	getBodyAndTotalRange()	Method	Returns the range where the PivotTable's data values reside.
ExcelScript.PivotLayout	getColumnLabelRange()	Method	Returns the range where the PivotTable's column labels reside.
ExcelScript.PivotLayout	getDataHierarchy(cell)	Method	Gets the DataHierarchy that is used to calculate the value in a specified range within the PivotTable.
